system:index,LST,NDBI,NDVI,.geo
150,31.492958720000047,-0.14645205168895942,0.6496493231120535,"{""type"":""Point"",""coordinates"":[77.47651630180862,23.245785778080293]}"
151,31.267369400000007,-0.04859773067865553,0.44398584905660377,"{""type"":""Point"",""coordinates"":[77.41190597879391,23.31838328895534]}"
152,30.207783199999994,-0.21129943502824858,0.5296803652968036,"{""type"":""Point"",""coordinates"":[77.4613256161769,23.297997010770647]}"
153,31.146029689999978,0.07659313725490197,0.1872373949579832,"{""type"":""Point"",""coordinates"":[77.46235043078016,23.26683541942202]}"
154,31.28958653000001,0.02737905369484317,0.3755639097744361,"{""type"":""Point"",""coordinates"":[77.3968157688026,23.256250638139136]}"
155,32.596979180000005,-0.06173324173127883,0.30149181905678535,"{""type"":""Point"",""coordinates"":[77.46828564239712,23.273672527230637]}"
156,30.272725580000042,-0.017941091816175765,0.20953032375740993,"{""type"":""Point"",""coordinates"":[77.43702880993423,23.191316969055112]}"
157,22.62148781000002,-0.25280898876404495,-0.24085106382978724,"{""type"":""Point"",""coordinates"":[77.3615277857224,23.245858839857505]}"
158,31.395545150000032,-0.05201738050900062,0.5871886120996441,"{""type"":""Point"",""coordinates"":[77.45045857119958,23.22360689106261]}"
159,29.811292879999996,0.0643023798413439,0.2036014405762305,"{""type"":""Point"",""coordinates"":[77.36530948752011,23.270867646142964]}"
160,33.34723457000001,0.010108716383749761,0.35509138381201044,"{""type"":""Point"",""coordinates"":[77.39686043090538,23.291648159327607]}"
161,30.65212580000002,0.028943235360107695,0.24690290982425814,"{""type"":""Point"",""coordinates"":[77.41324867378978,23.227914058771745]}"
162,30.92385839000002,0.0630759453447728,0.2934854134678658,"{""type"":""Point"",""coordinates"":[77.43947215133066,23.192601895569453]}"
163,32.94390821000002,0.0319495761790915,0.39930882814954444,"{""type"":""Point"",""coordinates"":[77.48566090769788,23.24107555664662]}"
164,31.75272824000001,0.012832263978001834,0.43552149283572145,"{""type"":""Point"",""coordinates"":[77.40265852830531,23.346552347923083]}"
165,31.749310219999984,0.04953291331740169,0.16016971625563511,"{""type"":""Point"",""coordinates"":[77.4755521435779,23.270726580073053]}"
166,28.57738766,0.04647902512671196,0.44618907425580634,"{""type"":""Point"",""coordinates"":[77.47733363424916,23.207099748877578]}"
167,29.819837930000006,0.009042602778036729,0.26262026368927427,"{""type"":""Point"",""coordinates"":[77.43102984879599,23.188991177837615]}"
168,30.27956161999998,0.0511854103343465,0.2627831715210356,"{""type"":""Point"",""coordinates"":[77.48787746718692,23.230724199427307]}"
169,33.04986683000004,0.021546261089987327,0.22699031931801764,"{""type"":""Point"",""coordinates"":[77.39028306661699,23.230843108306814]}"
170,32.79864236000003,-0.012094823415578132,0.3817701453104359,"{""type"":""Point"",""coordinates"":[77.48224309187466,23.290948703776458]}"
171,26.23433495000006,-0.34445534838076547,0.7464589235127479,"{""type"":""Point"",""coordinates"":[77.33414068209927,23.262061782994767]}"
172,30.481224800000007,-0.04144060948862981,0.49519390122638385,"{""type"":""Point"",""coordinates"":[77.40207602643395,23.213340964624837]}"
173,23.09659259,-0.3285198555956679,-0.15011547344110854,"{""type"":""Point"",""coordinates"":[77.3508914160614,23.251694239237683]}"
174,36.609734660000015,0.025684448207733558,0.32769230769230767,"{""type"":""Point"",""coordinates"":[77.36444390938539,23.317132192840923]}"
175,28.91406262999999,-0.26883336464399776,0.5993369642434289,"{""type"":""Point"",""coordinates"":[77.35455475195621,23.32886011998458]}"
176,30.337667960000033,-0.010416666666666666,0.34189723320158105,"{""type"":""Point"",""coordinates"":[77.38073307916376,23.34360542125958]}"
177,30.575220349999995,0.1252720677146312,0.20326014637391882,"{""type"":""Point"",""coordinates"":[77.3820347684613,23.260550564208025]}"
