system:index,NDBI,NDVI,.geo
113,0.08056872037914692,0.3764002987303958,"{""type"":""Point"",""coordinates"":[77.40880499086272,23.306310350688463]}"
114,-0.046338396053013445,0.15481528934443733,"{""type"":""Point"",""coordinates"":[77.37329420628565,23.28211336238277]}"
115,0.2618563984809679,0.19570815450643778,"{""type"":""Point"",""coordinates"":[77.37493947009206,23.176975899548356]}"
116,0.043281043281043284,0.34484590860786396,"{""type"":""Point"",""coordinates"":[77.38418589281157,23.30835961969271]}"
117,-0.17192097519966373,0.5471698113207547,"{""type"":""Point"",""coordinates"":[77.42270286778908,23.34546018792183]}"
118,0.10186735350933676,0.1284789644012945,"{""type"":""Point"",""coordinates"":[77.43364957778475,23.264466822545263]}"
119,0.019873451564031728,0.2738012508686588,"{""type"":""Point"",""coordinates"":[77.31799760452039,23.272880139798527]}"
120,-0.21873491067117334,0.623934373492038,"{""type"":""Point"",""coordinates"":[77.40255171853437,23.239779322857014]}"
121,-0.3070063694267516,-0.18829113924050633,"{""type"":""Point"",""coordinates"":[77.35184859173785,23.24806936466023]}"
122,-0.04933633859253694,0.3630448926480156,"{""type"":""Point"",""coordinates"":[77.45002160571256,23.30192109631627]}"
123,0.10226074733512944,0.08770933863184786,"{""type"":""Point"",""coordinates"":[77.40711987066209,23.260513893822942]}"
124,0.13065861885318658,0.25660764690787785,"{""type"":""Point"",""coordinates"":[77.37635863522912,23.239491180230957]}"
125,-0.016454905228077483,0.22613065326633167,"{""type"":""Point"",""coordinates"":[77.46966002847812,23.19592529596733]}"
126,0.015574947531205125,0.34297769740807715,"{""type"":""Point"",""coordinates"":[77.48039859570946,23.246689619931775]}"
127,-0.0365540407034183,0.460467706013363,"{""type"":""Point"",""coordinates"":[77.38660976901768,23.295128262334096]}"
128,0.1849012775842044,0.11733800350262696,"{""type"":""Point"",""coordinates"":[77.33890312596456,23.270551237270837]}"
129,-0.009616724738675959,0.20834028356964138,"{""type"":""Point"",""coordinates"":[77.44241196889338,23.222505588199493]}"
130,0.01602747567258157,0.21255584293439925,"{""type"":""Point"",""coordinates"":[77.37685823655708,23.277578085787418]}"
131,-0.39662288930581613,0.5946872322193659,"{""type"":""Point"",""coordinates"":[77.49233546238516,23.25811834419204]}"
132,0.08191332929677364,0.2595229619081524,"{""type"":""Point"",""coordinates"":[77.45158829267982,23.197986905474526]}"
133,-0.21054633033337558,0.6414575455482984,"{""type"":""Point"",""coordinates"":[77.44025191098663,23.25727702023949]}"
134,0.1267939746174831,0.10656846535397566,"{""type"":""Point"",""coordinates"":[77.46643103121447,23.268864321493155]}"
135,-0.0479145122371596,0.487279843444227,"{""type"":""Point"",""coordinates"":[77.45437383845258,23.2440350436022]}"
136,0.08664259927797834,0.19621749408983452,"{""type"":""Point"",""coordinates"":[77.50213107885268,23.245967337213308]}"
137,0.0033229713795690854,0.39442111577684463,"{""type"":""Point"",""coordinates"":[77.32646085219595,23.277993911061028]}"
